Id,L0_S5_F116,L3_S36_F3934,L1_S25_F2530,L3_S30_F3504,L2_S26_F3062,L1_S24_F1036,L1_S25_F2061,L1_S25_F2662,L3_S44_F4118,L1_S25_F2144,L1_S24_F1411,L1_S24_F1467,L1_S25_F2712,L0_S19_F459,L3_S37_F3946,L1_S25_F2990,L1_S24_F808,L1_S25_F2747,L3_S29_F3367,L1_S25_F2466,L1_S25_F2749,L1_S24_F1520,L3_S30_F3609,L1_S24_F829,L0_S3_F88,L1_S25_F2545,L1_S24_F790,L1_S25_F2682,L1_S25_F2504,L1_S24_F1426,L0_S15_F394,L1_S25_F2842,L0_S21_F517,L1_S24_F1068,L1_S25_F2096,L1_S25_F2808,L0_S0_F4,L1_S24_F1235,L0_S17_F433,L3_S41_F4002,L3_S30_F3579,L1_S25_F2176,L3_S35_F3884,L1_S24_F844,L2_S28_F3259,L3_S29_F3479,L0_S11_F294,L1_S24_F897,L1_S25_F2594,L0_S12_F338,Response
1069,,,,4.0,,,,,,,,,,,0.0,,,,121.0,,,,-67.0,,0.0,,,,,,,,,,,,-15.0,,,,-0.16899999999999998,,0.0,,,12.0,,,,,0
1070,-0.07400000000000001,0.0,,2.0,,,,,,,,,,,0.0,,,,0.26,,,,,,,,,,,,,,,,,,-0.197,,,,,,,,,,0.08900000000000001,,,,0
1076,-62.0,0.0,,1.0,,,,,,,,,,,0.0,,,,42.0,,,,3.0,,,,,,,,,,,,,,294.0,,,,255.0,,,,,-55.0,,,,,0
1078,,,,4.0,,,,,,,,,,,0.0,,,,0.18600000000000005,,,,24.0,,0.0,,,,,,,,,,,,0.33,,,,0.013,,0.0,,,,,,,,0
1080,,0.0,,1.0,111.0,,,,,,,,,,0.0,,,,-193.0,,,68.0,115.0,,,,,,,,,,,,,,,,,,498.0,,,,,39.0,,,,,0
1082,,,,1.0,,,,,,,,,,,0.0,,,,-207.0,,,,-69.0,,0.0,,,,,,,,,,,,-33.0,,,,-0.108,,0.0,,,-51.0,,,,,0
1083,,0.0,,1.0,,,,,,,,,,,0.0,,,,42.0,,,,0.208,,0.0,,,,,,,,,,,,-33.0,,,,195.0,,,,,-67.0,,,,,0
1084,-138.0,,,-4.0,,,,,,,,,,,0.0,,,,0.112,,,,,,,,,,,,,,,,,,-215.0,,,,,,0.0,,,0.118,,,,,0
1097,-154.0,,,-5.0,,,,,,,,,,,0.0,,,,0.101,,,,-121.0,,,,,,,,,,,,,,-179.0,,,,-0.018000000000000002,,0.0,,,122.0,,,,,0
1098,,,,-3.0,,,-0.02,,,-134.0,,,,,0.0,,,,-228.0,,,,,,,,,,,,,,,,,,,,,,,0.108,0.0,,,4.0,,,,,0
1099,,0.0,,4.0,,,,,,,,,,0.39,0.0,,,,-207.0,,,,19.0,,,,,,,,,,,,,,,,,,-139.0,,,,,-16.0,,,,0.058,0
1101,,0.0,,-2.0,-0.05,,,,,,,,,,0.0,,,,-207.0,,,,21.0,,0.0,,,,,,,,,,,,-179.0,,,,-0.108,,,,,-4.0,-126.0,,,,0
1102,-0.093,0.0,,4.0,,,,,,,,,,,0.0,,,,-38.0,,,,242.0,,0.0,,,,,,,,,,,,-179.0,,,,-78.0,,,,,-24.0,132.0,,,,0
1104,-0.01,0.0,,-2.0,,,,,,,,,,,0.0,,,,0.056,,,,,,,,,,,,,,,,,,-0.197,,,,,,,,,,129.0,,,,0
1106,,0.0,,8.0,,,,,,,,,,155.0,0.0,,,,-139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-53.0,0
1108,,0.0,,0.0,0.052000000000000005,,,,,,,,,,0.0,,,,-207.0,,,-111.0,0.029,,,,,,,,,,,,,,,,,,134.0,,,,,47.0,,,,,0
1112,,,,4.0,,,,,,,,,,,0.0,,,,23.0,,,-8.0,102.0,,,,,,,,,,,,,,,,,,-0.108,,0.0,,,-35.0,,,,,0
1113,,,,0.0,-139.0,,,,,,,,,,0.0,,,,12.0,,,49.0,-23.0,,,,,,,,,,,,,,,,,,195.0,,0.0,,,-47.0,,,,,0
1115,,,,3.0,-0.014,,,,,,,,,,0.0,,,,-85.0,,,-55.0,-0.093,,,,,,,,,,,,,,,,,,-0.16899999999999998,,0.0,,,-35.0,,,,,0
1117,-99.0,0.0,,1.0,,,,,,,,,,,0.0,,,,0.07,,,,-69.0,,0.0,,,,,,,,,,,,,,,,-78.0,,,,,-75.0,,,,,0
1118,,,,4.0,-157.0,,,,,,,-168.0,,,0.0,,,,0.23,,,,1.0,,,,,,,,,,,,,,,-65.0,,,-48.0,,0.0,,,0.059,,,,,0
1119,,0.0,,-3.0,,,,,,,,,,-0.018000000000000002,0.0,,,,-0.097,,,,105.0,,,,,,,,,,,,,,,,109.0,,-48.0,,,,,-31.0,,,,225.0,0
1124,-168.0,,,-4.0,,,,,,,,,,,0.0,,,,121.0,,,,-0.08,,,,,,,,,,,,,,-33.0,,,,-0.16899999999999998,,0.0,,,-39.0,-15.0,,,,0
1126,,,,-2.0,,,,,,,,,,,0.0,,,,-0.16,,,,,,,,,,,,12.0,,,,,,,,,,,,0.0,,,,,,,2.0,0
1127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-179.0,,,0.0,,,,,,,,,,,0
1130,,0.0,,0.0,,,,,,,,,,,0.0,,,,264.0,,,,,,,,,,,,,,,,,,,,,,,,,,,149.0,,,,2.0,0
1132,,0.0,,0.0,,,,,,,,,,,0.0,,,,-0.17600000000000002,,,,,,,,,,,,,,,,,,,,0.054000000000000006,,,,,,,129.0,,,,2.0,0
1133,,0.0,,1.0,,,,,,,,,,,0.0,,,,0.07,,,,-0.02,,0.0,,,,,,,,,,,,312.0,,,,0.013,,,,,-43.0,,,,,0
1138,-1.0,0.0,,3.0,,,,,,,,,,,0.0,,,,177.0,,,,-132.0,,,,,,,,,,,,,,-0.343,,,,-48.0,,,,,-78.0,,,,,0
1139,,0.0,,4.0,,,,,,,,,,,0.0,,,,177.0,,,,-0.006999999999999999,,,,,,,,,,,,,,-215.0,,,,-78.0,,,,,-55.0,,,,,0
1140,,,,4.0,,,,,,,,,,,0.0,,,,-38.0,,,,-2.0,,,,,,,,,,,,,,-33.0,,,,0.013,,0.0,,,-0.027000000000000003,,,,,0
1141,-0.16,,,-1.0,,,,,,,,,,,0.0,,,,12.0,,,,0.027000000000000003,,0.0,,,,,,,,,,,,-15.0,,,,-48.0,,0.0,,,-43.0,,,,,0
1142,-99.0,0.0,,-4.0,,,,,,,,,,,0.0,,,,-218.0,,,,,,,,,,,,,,,,,,-0.197,,,,,,,,,125.0,,,,,0
1143,,0.0,,-5.0,,,,,,,,,,,0.0,,,,293.0,,,,0.058,,0.0,,,,,,,,,,,,-179.0,,,,0.013,,,,,8.0,,,,,0
1144,,0.0,,-1.0,,,,,,,,,,,0.0,,,,-0.097,,,,273.0,,0.0,,,,,,,,,,,,-15.0,,,,43.0,,,,,-0.02,,,,,0
1145,,,,3.0,,,,,,,,,,,0.0,,,,385.0,,,,,,0.0,,,,,,,,,,,,3.0,,,,,,0.0,,,86.0,0.104,,,,0
1146,193.0,,,-5.0,,,,,,,,,,,0.0,,,,78.0,,,,-0.028,,,,,,,,,,,,,,0.33,,,,-0.018000000000000002,,0.0,,,16.0,,,,,0
1147,,,,-3.0,,,,,,,,,,,0.0,,,,0.21,,,-98.0,,,,,,,,,,,,,,,,,,,,,0.0,,,8.0,,,,,0
1150,-77.0,0.0,,6.0,,,,,,,,,,,0.0,,,,-146.0,,,,0.037000000000000005,,,,,,,,,,,,,,-33.0,,,,-0.018000000000000002,,,,,-94.0,,,,,0
1153,,,,3.0,,,,,,,,,,,0.0,,,,165.0,,,,,,0.0,,,,,,,,,,,,-179.0,,,,,,0.0,,,94.0,0.052000000000000005,,,,0
1155,,0.0,,-5.0,,,,,,,,,,-6.0,0.0,,,,-174.0,,,,-51.0,,,,,,,,-0.08800000000000001,,1.0,,,,,,69.0,,-0.018000000000000002,,,,,-35.0,,,,113.0,0
1158,,,,-2.0,,,,,,,,,,,0.0,,,,-0.054000000000000006,,,,,,0.0,,,,,,,,,,,,-215.0,,,,,,0.0,,,102.0,0.058,,,,0
1160,,,,-5.0,,,,,,,,,,,0.0,,,,-207.0,,,,-95.0,,,,,,,,0.112,,,,,,,,,,0.104,,0.0,,,-63.0,,,,0.058,0
1167,,0.0,,1.0,-0.101,,,,,,,,,,0.0,,,,23.0,,,39.0,-12.0,,,,,,,,,,,,,,,,,,-0.199,,,,,-4.0,,,,,0
1168,,0.0,,-3.0,,,,,,,,,,0.0,0.0,,,,-0.118,,,,,,,,,,,,12.0,,12.0,,,,,,,,,,,,,4.0,,,,0.058,0
1171,,,,0.0,,,,,,,,,,,0.0,,,,-0.029,,,,-0.07200000000000001,,,,,,,,,,,,,,0.33,,,,-48.0,,0.0,,,,,,,,0
1172,,,,,-45.0,,,,53.0,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0
1178,,,,-4.0,,,,,,,,,,,0.0,,,,165.0,,,,,,,,,,,,,,,,,,-15.0,,,,,,0.0,,,98.0,71.0,,,,0
1180,-172.0,0.0,,0.0,,,,,,,,,,,0.0,,,,0.07,,,,318.0,,,,,,,,,,,,,,-15.0,,,,-48.0,,,,,-78.0,,,,,0
1182,,0.0,,-3.0,,,,,,,,,,,0.0,,,,-207.0,,,-0.02,63.0,,,,,,,,,,,,,,,,,,-78.0,,,,,-51.0,,,,,0
1184,,,,0.0,,,,,,,,,,,0.0,,,,-163.0,,,,,,,,,,,,,,-16.0,,,,,,162.0,,,,0.0,,,106.0,,,,-53.0,0
1185,,0.0,,0.0,,,,,,,,,,,0.0,,,,0.044,,,,,,0.0,,,,,,,,,,,,-0.197,,,,,,,,,-0.02,,,,,0
1186,1.0,,,1.0,,,,,,,,,,,0.0,,,,177.0,,,,0.224,,0.0,,,,,,,,,,,,312.0,,,,225.0,,0.0,,,-71.0,,,,,0
1190,,,,-4.0,,,,,,,,,,,0.0,,,,-0.18,,,,,,,,,,,,,,,,,,-179.0,,,,,,0.0,,,94.0,,,,,0
1191,0.189,0.0,,-5.0,,,,,,,,,,,0.0,,,,-57.0,,,,42.0,,,,,,,,,,,,,,-0.197,,,,134.0,,,,,0.0,-0.14300000000000002,,,,0
1194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-215.0,,,0.0,,,,,,,,,,,0
1195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-215.0,,,0.0,,,,,,,,,,,0
1197,,,,1.0,0.1,,,,,,,,,,0.0,,,,-85.0,-34.0,,,-77.0,,,,,,,,,,,,,,,,,,-0.108,,0.0,,,0.027000000000000003,,,,,0
1198,-165.0,,,0.0,,,,,,,,,,,0.0,,,,-85.0,,,,86.0,,0.0,,,,,,,,,,,,-33.0,,,,73.0,,0.0,,,-8.0,,,,,0
1202,-0.07,0.0,,0.0,,,,,,,,,,,0.0,,,,0.07,,,,-0.028,,0.0,,,,,,,,,,,,-15.0,,,,-0.018000000000000002,,,,,-98.0,,,,,0
1207,67.0,0.0,,-2.0,,,,,,,,,,,0.0,,,,-163.0,,,,,,0.0,,,,,,,,,,,,-15.0,,,,,,,,,161.0,,,,,0
1209,,0.0,,1.0,-0.052000000000000005,,,,,,,,,,0.0,,,,131.0,,,12.0,0.118,,,,,,,,,,,,,,,,,,-0.108,,,,,-35.0,,,,,0
1210,,0.0,,-5.0,0.123,,,,,,,,,,0.0,,,,131.0,,,-91.0,63.0,,,,,,,,,,,,,,,,,,195.0,,,,,31.0,,,,,0
1212,-0.07200000000000001,0.0,,3.0,,,,,,,,,,,0.0,,,,-163.0,,,,,,0.0,,,,,,,,,,,,0.33,,,,,,,,,55.0,,,,,0
1213,,,,6.0,,,,,,,,,,,0.0,,,,-0.118,,,,-0.056,,0.0,,,,,,,,,,,,-0.197,,,,134.0,,0.0,,,75.0,,,,,0
1214,139.0,,,1.0,,,,,,,,,,,0.0,,,,-0.13699999999999998,,,,-98.0,,0.0,,,,,,,,,,,,312.0,,,,134.0,,0.0,,,98.0,,,,,0
1215,,,,4.0,-24.0,,,,,,,,,,0.0,,,,-85.0,,,0.097,-155.0,,,,,,,,,,,,,,,,,,-0.23,,0.0,,,-0.027000000000000003,,,,,0
1216,,0.0,,1.0,,,,,,,,,,,0.0,,,,12.0,,,,276.0,,,,,,,,,,,,,,0.33,,,,195.0,,,,,-55.0,,,,,0
1217,,,,3.0,,,,,,,,,,,0.0,,,,385.0,,,,,,,,,,,,,,,,,,-15.0,,,,,,0.0,,,75.0,,,,,0
1218,,,,1.0,-79.0,,,,,,,,,,0.0,,,,-193.0,,,-24.0,102.0,,,,,,,,,,,,,,,,,,-0.108,,0.0,,,-31.0,,,,,0
1219,,,,1.0,,,,,,,,,,,0.0,,,,-174.0,,,,-0.036000000000000004,,,,,,,,,,,,,,0.33,,,,0.16399999999999998,,0.0,,,31.0,,,,,0
1221,,0.0,,-3.0,,,,,,,,,,,0.0,,,,-146.0,,,,-0.054000000000000006,,0.0,,,,,,,,,,,,-361.0,,,,-139.0,,,,,-161.0,,,,,0
1222,-193.0,0.0,,4.0,,,,,,,,,,,0.0,,,,0.393,,,,0.04,,,,,,,,,,,,,,3.0,,,,-0.108,,,,,-63.0,-79.0,,,,0
1223,,,,0.0,,,,,,,,,,,0.0,,,,0.056,,,-66.0,,,,,,,,,,,,,,,,,,,,,0.0,,,71.0,,,,,0
1225,,,,6.0,,,,,,,,,,-24.0,0.0,,,,-0.118,,,,-0.059,,,,,,,,,,0.018000000000000002,,,,,,-113.0,,134.0,,0.0,,,12.0,,,,-53.0,0
1228,-128.0,,,-1.0,,,,,,,,,,,0.0,,,,-0.054000000000000006,,,,,,0.0,,,,,,,,,,,,3.0,,,,,,0.0,,,67.0,,,,,0
1230,,0.0,,0.0,,,,,,,,,,-25.0,0.0,,,,-207.0,,,,268.0,,,,,,,,12.0,,,,,,,,21.0,,195.0,,,,,-39.0,,,,0.058,0
1233,,0.0,,6.0,0.08800000000000001,,,,,,,,,,0.0,,,,-0.097,,,153.0,289.0,,,,,,,,,,,,,,,,,,316.0,,,,,-55.0,,,,,0
1234,-115.0,,,-5.0,,,,,,,,,,,0.0,,,,-174.0,,,,-0.059,,0.0,,,,,,,,,,,,-161.0,,,,-78.0,,0.0,,,-55.0,-0.052000000000000005,,,,0
1235,15.0,0.0,,3.0,,,,,,,,,,,0.0,,,,-0.054000000000000006,,,,,,,,,,,,,,,,,,-161.0,,,,,,,,,71.0,-78.0,,,,0
1237,,0.0,,-5.0,0.056,,,,,,,,,,0.0,,,,131.0,,,121.0,-0.13699999999999998,,,,,,,,,,,,,,,,,,-48.0,,,,,63.0,,,,,0
1239,-0.059,,,,-0.018000000000000002,,,,0.108,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,0.0,,,,,,,,,,,0
1246,,0.0,,1.0,,,,,,,,,,,0.0,,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,0.058,0
1248,,,,1.0,,,,,,,,,,,0.0,,,,-228.0,,,,,,,,,,,,,,,,,,,,-251.0,,,,0.0,,,0.09,,,,0.058,0
1250,,0.0,,0.0,,,,,,,,,,,0.0,,,,23.0,,,,-0.036000000000000004,,0.0,,,,,,,,,,,,-179.0,,,,0.013,,,,,8.0,-51.0,,,,1
1251,,0.0,,0.0,,,,,,,,,,,0.0,,,,23.0,,,,-0.036000000000000004,,0.0,,,,,,,,,,,,-179.0,,,,0.013,,,,,8.0,-51.0,,,,0
1252,,0.0,,-3.0,49.0,,,113.0,,,,,,,0.0,,,127.0,0.07,,-0.279,,,,,,,-24.0,-496.0,,,,,,,,,,,,,,,,,0.08199999999999999,,,78.0,,0
1255,,,,4.0,,,-76.0,,,0.25,,,,,0.0,,,,-207.0,,,,-114.0,,,,,,,,,,,,,,,,,,-0.26,-67.0,0.0,,,-51.0,,,,,0
1256,,0.0,,0.0,,,,,,,,,,,0.0,,,,0.18600000000000005,,,,-46.0,,,,,,,,,,0.059,,,,,,61.0,,0.013,,,,,0.09,,,,0.058,0
1270,,0.0,,4.0,,,,,,,,,,-34.0,0.0,,,,0.15,,,,-85.0,,,,,,,,,,,,,,,,,,225.0,,,,,-67.0,,,,-53.0,0
1274,-0.16399999999999998,0.0,,-4.0,,,,,,,,,,,0.0,,,,38.0,,,,,,,,,,,,,,,,,,-0.197,,,,,,,,,-71.0,,,,,0
1275,-0.16399999999999998,0.0,,-4.0,,,,,,,,,,,0.0,,,,38.0,,,,,,,,,,,,,,,,,,-0.197,,,,,,,,,-71.0,,,,,0
1276,-0.16399999999999998,0.0,,-4.0,,,,,,,,,,,0.0,,,,38.0,,,,,,,,,,,,,,,,,,-0.197,,,,,,,,,-71.0,,,,,0
1277,-0.16399999999999998,0.0,,-4.0,,,,,,,,,,,0.0,,,,38.0,,,,,,,,,,,,,,,,,,-0.197,,,,,,,,,-71.0,,,,,0
1283,,0.0,,-3.0,,,,,,,,,,,0.0,,,,-0.13699999999999998,,,,-0.028,,,,,,,,,,,,,,312.0,,,,-0.199,,,,,0.02,,,,,0
1284,,0.0,,-2.0,,,,,,,,,,,0.0,,,,-193.0,,,,-49.0,,,,,,,,,,,,,,-15.0,,,,-0.16899999999999998,,,,,-12.0,,,,,0
1285,,,,5.0,,,,,,,,,,-0.054000000000000006,0.0,,,,264.0,,,,,,,,,,,,12.0,,,,,,,,0.054000000000000006,,,,0.0,,,-39.0,,,,-0.16399999999999998,0
1288,,,,,,,,,0.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.058,0
1291,-38.0,,,-1.0,,,,,,,,,,,0.0,,,,-57.0,,,,-134.0,,0.0,,,,,,,,,,,,-379.0,,,,-78.0,,0.0,,,-39.0,,,,,0
1292,,0.0,,0.009000000000000001,,,,,,,,,,-0.39,0.0,,,,-146.0,,,,-2.0,,,,,,,,12.0,,,,,,,,-0.236,,-78.0,,,,,-78.0,,,,113.0,0
1293,114.0,,,2.0,,,,,,,,,,,0.0,,,,0.23,,,,136.0,,,,,,,,,,,,,,0.33,,,,-0.108,,0.0,,,106.0,,,,,0
1294,,0.0,,0.0,,,,,,,,,,0.14300000000000002,0.0,,,,0.112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-109.0,0
1296,,,,3.0,,,,,,,,,,215.0,0.0,,,,275.0,,,,,,,,,,,,12.0,,0.056,,,,,,-185.0,,,,0.0,,,71.0,,,,0.058,0
1298,,0.0,,-1.0,,,,,,,,,,,0.0,,,,-201.0,,,,,,,,,,,,,,,,,,348.0,,,,,,,,,75.0,,,,,0
1300,-81.0,0.0,,-4.0,,,,,,,,,,,0.0,,,,0.112,,,,,,0.0,,,,,,,,,,,,-215.0,,,,,,,,,157.0,,,,,0
1302,12.0,0.0,,4.0,,,,,,,,,,,0.0,,,,12.0,,,,0.19,,,,,,,,,,,,,,348.0,,,,-0.108,,,,,39.0,-0.07400000000000001,,,,0
1304,,0.0,,-5.0,,,,,,,,,,,0.0,,,,366.0,,,,-0.08,,,,,,,,,,,,,,-179.0,,,,134.0,,,,,-0.08199999999999999,,,,,0
1306,,,,-3.0,0.07400000000000001,,,,,,,165.0,,,0.0,,,,179.0,,,,,,,,,,,,,,,,,,,-0.037000000000000005,,,,,0.0,,,39.0,,,,,0
1307,,,,-3.0,0.07400000000000001,,,,,,,165.0,,,0.0,,,,179.0,,,,,,,,,,,,,,,,,,,-0.037000000000000005,,,,,0.0,,,39.0,,,,,0
1308,,,,-3.0,0.07400000000000001,,,,,,,165.0,,,0.0,,,,179.0,,,,,,,,,,,,,,,,,,,-0.037000000000000005,,,,,0.0,,,39.0,,,,,0
1310,,0.0,,6.0,,,,,,,,,,,0.0,,,,-66.0,,,,0.08900000000000001,,,,,,,,0.112,,,,,,,,98.0,,73.0,,,,,-51.0,,,,0.058,0
1311,,0.0,,3.0,,,,,,,,,,,0.0,,,,-163.0,,,,,,0.0,,,,,,,,,,,,-179.0,,,,,,,,,-0.02,,,,,0
1312,,,,0.0,,,,,,,,,,,0.0,,,,-207.0,,,,-0.041,,,,,,,,,,,,,,0.33,,,,-0.018000000000000002,,0.0,,,-0.027000000000000003,-76.0,,,,0
1313,-0.07200000000000001,,,-5.0,,,,,,,,,,,0.0,,,,177.0,,,,-0.059,,0.0,,,,,,,,,,,,-33.0,,,,-48.0,,0.0,,,-71.0,-127.0,,,,0
1318,,,,-4.0,,,,,,,,,,,0.0,,,,-207.0,,,-133.0,99.0,,,,,,,,,,,,,,,,,,134.0,,0.0,,,51.0,,,,,0
1320,,,,1.0,,,0.116,,,-251.0,,,,,0.0,,,,-228.0,,,,,,,,,,,,,,,,,,,,,,,0.093,0.0,,,102.0,,,,,0
1322,,,,6.0,-105.0,,,,,,,-0.393,,,0.0,,,,0.34600000000000003,,,,-95.0,,,,,,,,,,,,,,,35.0,,,-139.0,,0.0,,,-0.027000000000000003,,,,,0
1323,,,,4.0,,,,,,,,,,,0.0,,,,-207.0,,,,0.21600000000000005,,0.0,,,,,,,,,,,,312.0,,,,285.0,,0.0,,,-8.0,-124.0,,,,0
1325,109.0,0.0,,0.0,,,,,,,,,,,0.0,,,,-38.0,,,,-0.103,,,,,,,,,,,,,,-161.0,,,,-48.0,,,,,-0.11,-0.022,,,,0
1326,-0.013,,,2.0,,,,,,,,,,,0.0,,,,-201.0,,,,,,,,,,,,,,,,,,0.33,,,,,,0.0,,,71.0,45.0,,,,0
1327,,0.0,,0.0,,,,,,,,,,,0.0,,,,0.101,,,-85.0,,,,,,,,,,,,,,,,,,,,,,,,71.0,,,,,0
1329,,0.0,,5.0,,,,,,,,,,,0.0,,,,154.0,,,,,,0.0,,,,,,,,,,,,-179.0,,,,,,,,,35.0,87.0,,,,0
1331,265.0,,,0.0,,,,,,,,,,,0.0,,,,-85.0,,,,-121.0,,0.0,,,,,,,,,,,,-15.0,,,,-0.108,,0.0,,,0.02,,,,,0
1332,,0.0,,-5.0,,,,,,,,,,,0.0,,,,-207.0,,,,0.097,,,,,,,,-0.08800000000000001,,0.01,,,,,,,,73.0,,,,,-63.0,,,,113.0,0
1333,,,,3.0,,,,,,,,,,,0.0,,,,-207.0,,,,107.0,,,,,,,,,,,,,,312.0,,,,-0.108,,0.0,,,-24.0,,,,,0
1334,,,,,,,,,0.118,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,185.0,0.0,,,,,,,,,,-53.0,0
1335,-15.0,,,1.0,,,,,,,,,,,0.0,,,,0.056,,,,,,0.0,,,,,,,,,,,,-33.0,,,,,,0.0,,,63.0,-0.022,,,,0
1336,,0.0,,1.0,0.037000000000000005,,,,,,,,,-25.0,0.0,,,,42.0,,,,16.0,,,,,,,,,,,,,,,,69.0,,255.0,,,,,-71.0,,,,0.16899999999999998,0
1337,,0.0,,4.0,111.0,,,,,,,,,,0.0,,,,0.238,,,51.0,-51.0,,,,,,,,,,,,,,,,,,0.104,,,,,-24.0,,,,,0
1342,-43.0,0.0,,-1.0,,,,,,,,,,,0.0,,,,0.23,,,,-0.054000000000000006,,0.0,,,,,,,,,,,,-33.0,,,,-139.0,,,,,-63.0,,,,,0
1346,-0.036000000000000004,0.0,,-1.0,,,,,,,,,,,0.0,,,,-207.0,,,,-2.0,,,,,,,,,,,,,,-15.0,,,,-0.018000000000000002,,,,,47.0,,,,,0
1349,,0.0,,1.0,,,0.112,,,122.0,,,,,0.0,,,,0.101,,,,,,,,,,,,,,,,,,,,,,,-4.0,,,,0.02,,,,,0
1350,,0.0,,1.0,0.18,,,,,,,,,,0.0,,,,78.0,,,,-121.0,,,,,,,,,,,,,,0.33,,,,0.16399999999999998,,,,,102.0,-67.0,,,,1
1351,,0.0,,1.0,0.18,,,,,,,,,,0.0,,,,78.0,,,,-121.0,,,,,,,,,,,,,,0.33,,,,0.16399999999999998,,,,,102.0,-67.0,,,,0
1356,-46.0,,,3.0,,,,,,,,,,,0.0,,,,-193.0,,,,0.18,,0.0,,,,,,,,,,,,-215.0,,,,-0.108,,0.0,,,-4.0,,,,,0
1358,,,,-2.0,,,,,,,,,,,0.0,,,,0.34600000000000003,,,-0.014,-0.036000000000000004,,,,,,,,,,,,,,,,,,-0.199,,0.0,,,-0.027000000000000003,,,,,0
1359,,0.0,,-4.0,,,,,,,,,,,0.0,,,,165.0,,,,,,,,,,,,-0.08800000000000001,,,,,,,,,,,,,,,12.0,,,,-53.0,0
1360,,0.0,,-1.0,,,,,,,,,,,0.0,,,,-0.097,,,,-0.01,,,,,,,,,,,,,,-33.0,,,,-78.0,,,,,-47.0,,,,,0
1361,-81.0,0.0,,1.0,,,,,,,,,,,0.0,,,,-38.0,,,,55.0,,0.0,,,,,,,,,,,,3.0,,,,-48.0,,,,,-71.0,,,,,0
1362,,0.0,,0.0,,,,,,,,,,-133.0,0.0,,,,78.0,,,,-0.054000000000000006,,,,,,,,,,,,,,,,,,43.0,,,,,-8.0,,,,2.0,0
1366,,0.0,,-5.0,,,,,,,,,,,0.0,,,,-85.0,,,,-0.14,,,,,,,,0.112,,0.01,,,,,,0.14400000000000002,,-48.0,,,,,39.0,,,,2.0,0
1368,,0.0,,-3.0,,,,,,,,,,,0.0,,,,-146.0,,,,19.0,,0.0,,,,,,,,,,,,-324.0,,,,-139.0,,,,,-0.08199999999999999,,,,,0
1370,-115.0,,,4.0,,,,,,,,,,,0.0,,,,-85.0,,,,0.12,,0.0,,,,,,,,,,,,3.0,,,,-0.108,,0.0,,,-0.027000000000000003,,,,,0
1373,,0.0,,4.0,-0.018000000000000002,,,,,,,,,,0.0,,,,-85.0,,,-0.054000000000000006,1.0,,,,,,,,,,,,,,,,,,-78.0,,,,,-31.0,,,,,0
1375,257.0,,,6.0,,,,,,,,,,,0.0,,,,-228.0,,,,0.011,,,,,,,,,,,,,,-0.197,,,,43.0,,0.0,,,31.0,,,,,0
1379,,0.0,,4.0,,,,,,,,,,,0.0,,,,23.0,,,,-127.0,,0.0,,,,,,,,,,,,-0.197,,,,-0.018000000000000002,,,,,4.0,,,,,0
1380,,0.0,,0.0,-0.1,,,,,-12.0,,,,,0.0,,,,131.0,,,,-0.028,,,,,,,,,,,,0.0,,,,,,-48.0,-61.0,,,,-55.0,,,,,0
1381,,,,0.0,,,,,,,,,,-99.0,0.0,,,,78.0,,,,-31.0,,,,,,,,,,,,,,,,,,-0.018000000000000002,,0.0,,,-4.0,,,,2.0,0
1382,,,,-2.0,,,,,,,,,,,0.0,,,,42.0,,,,-5.0,,0.0,,,,,,,,,,,,-15.0,,,,195.0,,0.0,,,-0.059,,,,,0
1384,,0.0,,4.0,,,,,,,,,,,0.0,,,,0.04,,,,,,,,,,,,,,,,,,,,42.0,,,,,,,94.0,,,,2.0,0
1385,-81.0,0.0,,4.0,,,,,,,,,,,0.0,,,,0.07,,,,0.014,,0.0,,,,,,,,,,,,-15.0,,,,-78.0,,,,,8.0,,,,,0
1387,,,,-3.0,0.103,0.056,,,,,,,,,0.0,,-306.0,,-193.0,,,,-15.0,,,,-19.0,,,,,,,33.0,,,,,,,-48.0,,0.0,,,35.0,,,,,0
1388,,0.0,,-2.0,,,,,,,,,,,0.0,,,,0.26,,,,,,,,,,,,,,,,,,-33.0,,,,,,,,,0.08199999999999999,,,,,0
1389,,0.0,,1.0,,,,,,,,,,,0.0,,,,-146.0,,,,3.0,,,,,,,,,,,,,,-0.052000000000000005,,,,195.0,,,,,-75.0,,,,,0
1390,,0.0,,0.0,,,,,,,,,,,0.0,,,,-85.0,,,,-0.103,,,,,,,,,,,,,,276.0,,,,-0.018000000000000002,,,,,4.0,,,,,0
